"","Isolate","Genotype","State","isotype","Height.cm.","X.Cankers","canker.cm","DS"
"209","Nisk1","GW11026","North Dakota","Nisk1--GW11026--North Dakota",34.3575,8.75,0.261870116031779,3
"210","Nisk1","GW9823","North Dakota","Nisk1--GW9823--North Dakota",38.65,19.75,0.501532869820475,5
"211","OR-1","Besc234","Oregon","OR-1--Besc234--Oregon",59.75,0.25,0.00462962962962975,1
"212","OR-1","Besc400","Oregon","OR-1--Besc400--Oregon",44.5,0.25,0.0086206896551725,1
"213","OR-1","CMBF28-1","Oregon","OR-1--CMBF28-1--Oregon",45,0.25,0.00431034482758625,1
"214","OR-1","GW11026","Oregon","OR-1--GW11026--Oregon",51,3,0.0570539958407607,4
"215","OR-1","GW9823","Oregon","OR-1--GW9823--Oregon",53,2,0.0402832674571805,4
"216","OR-10","Besc234","Oregon","OR-10--Besc234--Oregon",47.5,2.25,0.0542991943494095,5
"217","OR-10","Besc400","Oregon","OR-10--Besc400--Oregon",62.25,4.5,0.0774725110169855,3
"218","OR-10","CMBF28-1","Oregon","OR-10--CMBF28-1--Oregon",49.5,0.75,0.011904761904762,1
"219","OR-10","GW11026","Oregon","OR-10--GW11026--Oregon",48.75,3,0.0646726938515215,4
"220","OR-10","GW9823","Oregon","OR-10--GW9823--Oregon",43.25,0.75,0.0148687448728467,1
"221","OR-11","Besc234","Oregon","OR-11--Besc234--Oregon",40.5,3.75,0.105684349476116,4
"222","OR-11","Besc400","Oregon","OR-11--Besc400--Oregon",37.75,1.25,0.031397478887233,4
"223","OR-11","CMBF28-1","Oregon","OR-11--CMBF28-1--Oregon",50.25,1.75,0.0328499820981022,3
"224","OR-11","GW11026","Oregon","OR-11--GW11026--Oregon",57,6.75,0.125990373297073,4
"225","OR-11","GW9823","Oregon","OR-11--GW9823--Oregon",49.75,4,0.0823012771875017,4
"226","OR-12","Besc234","Oregon","OR-12--Besc234--Oregon",46.5,0.5,0.013888888888889,1
"227","OR-12","Besc400","Oregon","OR-12--Besc400--Oregon",43,0,0,1
"228","OR-12","CMBF28-1","Oregon","OR-12--CMBF28-1--Oregon",47.75,0.25,0.00490196078431375,1
"229","OR-12","GW11026","Oregon","OR-12--GW11026--Oregon",50.25,1,0.019607843137255,1
"230","OR-12","GW9823","Oregon","OR-12--GW9823--Oregon",50.25,1,0.023026598026598,4
"231","OR-13","Besc234","Oregon","OR-13--Besc234--Oregon",49.5,3.25,0.066826706676669,4
"232","OR-13","Besc400","Oregon","OR-13--Besc400--Oregon",54.75,1.25,0.0251523649961152,3
"233","OR-13","CMBF28-1","Oregon","OR-13--CMBF28-1--Oregon",50,1.5,0.0294117647058822,1
"234","OR-13","GW11026","Oregon","OR-13--GW11026--Oregon",51.75,4.5,0.0882643482925085,4
"235","OR-13","GW9823","Oregon","OR-13--GW9823--Oregon",43.25,3,0.0754694485842028,4
"236","OR-2","Besc234","Oregon","OR-2--Besc234--Oregon",66.5,0.25,0.00403225806451625,1
"237","OR-2","Besc400","Oregon","OR-2--Besc400--Oregon",45.25,0.5,0.0172413793103448,1
"238","OR-2","CMBF28-1","Oregon","OR-2--CMBF28-1--Oregon",53.75,4,0.108108108108108,1
"239","OR-2","GW11026","Oregon","OR-2--GW11026--Oregon",42.25,0.5,0.0104166666666667,1
"240","OR-2","GW9823","Oregon","OR-2--GW9823--Oregon",43.75,0.25,0.0047169811320755,1
"241","OR-3","Besc234","Oregon","OR-3--Besc234--Oregon",51.25,0.5,0.0098039215686275,1
"242","OR-3","Besc400","Oregon","OR-3--Besc400--Oregon",51.75,0.5,0.00926870748299325,1
"243","OR-3","CMBF28-1","Oregon","OR-3--CMBF28-1--Oregon",52.25,0,0,1
"244","OR-3","GW11026","Oregon","OR-3--GW11026--Oregon",47.75,1.5,0.0347619047619048,1
"245","OR-3","GW9823","Oregon","OR-3--GW9823--Oregon",41.5,5.25,0.121713852376137,1
"246","OR-4","Besc234","Oregon","OR-4--Besc234--Oregon",59.25,0.75,0.0142682072829132,1
"247","OR-4","Besc400","Oregon","OR-4--Besc400--Oregon",46,1.25,0.017297162767546,1
"248","OR-4","CMBF28-1","Oregon","OR-4--CMBF28-1--Oregon",54.5,0,0,1
"249","OR-4","GW11026","Oregon","OR-4--GW11026--Oregon",57,3.5,0.0575683636205548,4
"250","OR-4","GW9823","Oregon","OR-4--GW9823--Oregon",42.25,0.25,0.0051020408163265,1
"251","OR-5","Besc234","Oregon","OR-5--Besc234--Oregon",49.25,2.25,0.0439045183290705,1
"252","OR-5","Besc400","Oregon","OR-5--Besc400--Oregon",60.5,1.5,0.0217172252012875,4
"253","OR-5","CMBF28-1","Oregon","OR-5--CMBF28-1--Oregon",56.5,0.25,0.00446428571428575,1
"254","OR-5","GW11026","Oregon","OR-5--GW11026--Oregon",48.25,0.75,0.0234375,1
"255","OR-5","GW9823","Oregon","OR-5--GW9823--Oregon",39,0.25,0.005813953488372,1
"256","OR-6","Besc234","Oregon","OR-6--Besc234--Oregon",54.5,0.75,0.017857142857143,1
